Brand,Name,Cost,Price,Quantity,Condition,Category
Apple,iPhone 13 Pro,799,999,15,New,Electronics
Samsung,Galaxy S21 Ultra,750,950,10,New,Electronics
Sony,WH-1000XM4 Headphones,200,349,20,Refurbished,Electronics
Dell,XPS 13 Laptop,850,1200,5,Used - Like New,Computers
HP,Envy 6055 Printer,60,90,25,Used - Good,Computers
Nike,Air Zoom Pegasus 38,90,120,30,New,Fashion
Adidas,Ultraboost 21,100,150,18,New,Fashion
The North Face,Venture 2 Jacket,70,99,12,Used - Acceptable,Fashion
Gucci,Leather Belt,250,350,7,Used - Good,Fashion
Rolex,Submariner Watch,6000,7500,2,Used - Like New,Jewelry
Lego,Star Wars Millennium Falcon,120,160,15,New,Toys & Games
Hasbro,Monopoly Classic Edition,10,20,40,New,Toys & Games
Mattel,Barbie Dreamhouse,150,200,8,Refurbished,Toys & Games
Canon,EOS R5 Camera,2800,3500,3,New,Cameras
Nikon,D850 DSLR Camera,2000,2600,4,Used - Like New,Cameras
KitchenAid,Artisan Stand Mixer,250,350,10,Used - Good,Home & Garden
Dyson,V11 Torque Drive Vacuum,400,600,6,Refurbished,Home & Garden
DeWalt,20V Max Drill Combo Kit,150,200,20,New,Tools
Trek,Domane SL 6 Bike,2500,3200,2,Used - Good,Sports & Outdoors
Titleist,Pro V1 Golf Balls (Dozen),35,50,50,New,Sports & Outdoors
Nintendo,Switch Console,250,300,15,New,Video Games
Microsoft,Xbox Series X,400,500,12,New,Video Games
Sony,PlayStation 5,400,500,10,Used - Like New,Video Games
HarperCollins,"The Alchemist by Paulo Coelho",5,15,30,New,Books
Penguin,"1984 by George Orwell",4,10,50,Used - Acceptable,Books
Johnson & Johnson,Baby Shampoo 500ml,3,7,100,New,Health & Beauty
Estee Lauder,Advanced Night Repair Serum,60,90,25,New,Health & Beauty
Ford,F-150 Tailgate,400,600,5,Used - Good,Automotive
Goodyear,Assurance All-Season Tires (Set of 4),300,500,8,New,Automotive
Fisher-Price,Deluxe Kick & Play Piano Gym,30,50,20,New,Baby
Chicco,KeyFit 30 Infant Car Seat,100,150,10,Used - Like New,Baby
Columbia,Men's Glennaker Rain Jacket,35,60,18,New,Clothing
Levi's,501 Original Jeans,25,50,40,Used - Good,Clothing
Apple,MacBook Pro 16-inch,1800,2400,4,Refurbished,Computers
Asus,ROG Strix Gaming Laptop,1200,1500,6,New,Computers
Bose,QuietComfort Earbuds,180,280,15,Used - Like New,Electronics
Panasonic,Lumix G7 Mirrorless Camera,400,600,7,Used - Good,Cameras
Under Armour,Men's HeatGear T-Shirt,15,25,50,New,Fashion
Samsung,QLED 4K Smart TV 65",900,1200,5,New,Electronics
LG,Smart Refrigerator 28 cu ft,1500,2000,3,Refurbished,Home Appliances
Whirlpool,Front Load Washer,500,800,4,Used - Good,Home Appliances
IKEA,Billy Bookcase,30,60,20,New,Home & Garden
Seiko,Men's Automatic Watch,100,200,10,Used - Like New,Jewelry
Ray-Ban,Aviator Sunglasses,70,150,25,New,Fashion
Gibson,Les Paul Standard Guitar,1500,2000,2,Used - Acceptable,Musical Instruments
Yamaha,Digital Piano P-125,400,600,5,Refurbished,Musical Instruments
Bosch,500 Series Dishwasher,600,900,3,Used - Good,Home Appliances
Dell,UltraSharp 27" Monitor,250,400,10,New,Computers
Logitech,MX Master 3 Mouse,60,100,30,New,Computers
HP,Omen Gaming Desktop,900,1200,5,Refurbished,Computers
Fitbit,Charge 4 Fitness Tracker,70,130,20,New,Health & Beauty
Garmin,Forerunner 245 GPS Watch,150,250,12,Used - Like New,Sports & Outdoors
GoPro,HERO9 Black Camera,300,400,8,Used - Good,Cameras
DJI,Mavic Air 2 Drone,600,800,5,Refurbished,Electronics
